accession	ncbi_organism_name	ncbi_taxonomy	gtdb_taxonomy	gtdb_species_representative	ncbi_type_material
GCA_001768195.1	Bacteroidetes bacterium GWA2_40_15	d__Bacteria; p__Bacteroidetes; c__; o__; f__; g__; s__	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__VadinHA17; g__LD21; s__LD21 sp001768195	True	False
GCA_001768305.1	Bacteroidetes bacterium GWC2_40_22	d__Bacteria; p__Bacteroidetes; c__; o__; f__; g__; s__	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__VadinHA17; g__LD21; s__LD21 sp001768195	False	False
GCA_001768485.1	Bacteroidetes bacterium GWE2_41_25	d__Bacteria; p__Bacteroidetes; c__; o__; f__; g__; s__	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__VadinHA17; g__LD21; s__LD21 sp001768195	False	False
GCA_001769225.1	Bacteroidetes bacterium GWF2_41_9	d__Bacteria; p__Bacteroidetes; c__; o__; f__; g__; s__	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__VadinHA17; g__LD21; s__LD21 sp001768195	False	False
GCA_002070505.1	Bacteroidetes bacterium ADurb.Bin145	d__Bacteria; p__Bacteroidetes; c__; o__; f__; g__; s__	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__VadinHA17; g__LD21; s__LD21 sp002070505	True	False
GCA_002319885.1	Bacteroidales bacterium UBA1797	d__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__; g__; s__	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__VadinHA17; g__LD21; s__LD21 sp002319885	True	False
GCA_002319915.1	Bacteroidales bacterium UBA1800	d__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__; g__; s__	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__VadinHA17; g__LD21; s__LD21 sp002319915	True	False
GCA_002325785.1	Bacteroidales bacterium UBA1458	d__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__; g__; s__	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__VadinHA17; g__SR-FBR-E99; s__SR-FBR-E99 sp002325785	True	False
GCA_002328065.1	Bacteroidales bacterium UBA2183	d__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__; g__; s__	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__VadinHA17; g__SR-FBR-E99; s__SR-FBR-E99 sp002403305	False	False
GCA_002328625.1	Bacteroidales bacterium UBA2198	d__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__; g__; s__	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__VadinHA17; g__LD21; s__LD21 sp002328625	True	False
GCA_002347145.1	Bacteroidales bacterium UBA2263	d__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__; g__; s__	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__VadinHA17; g__SR-FBR-E99; s__SR-FBR-E99 sp002383485	False	False
GCA_002347435.1	Bacteroidales bacterium UBA2267	d__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__; g__; s__	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__VadinHA17; g__LD21; s__LD21 sp002428385	False	False
GCA_002348065.1	Bacteroidales bacterium UBA2254	d__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__; g__; s__	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__VadinHA17; g__SR-FBR-E99; s__SR-FBR-E99 sp002403305	False	False
GCA_002383485.1	Bacteroidales bacterium UBA4070	d__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__; g__; s__	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__VadinHA17; g__SR-FBR-E99; s__SR-FBR-E99 sp002383485	True	False
GCA_002402645.1	Bacteroidales bacterium UBA4805	d__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__; g__; s__	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__VadinHA17; g__LD21; s__LD21 sp002428385	False	False
GCA_002402965.1	Bacteroidales bacterium UBA4788	d__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__; g__; s__	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__VadinHA17; g__SR-FBR-E99; s__SR-FBR-E99 sp002402965	True	False
GCA_002403305.1	Bacteroidales bacterium UBA4772	d__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__; g__; s__	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__VadinHA17; g__SR-FBR-E99; s__SR-FBR-E99 sp002403305	True	False
GCA_002409145.1	Bacteroidales bacterium UBA5235	d__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__; g__; s__	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__VadinHA17; g__SR-FBR-E99; s__SR-FBR-E99 sp002409145	True	False
GCA_002418645.1	Bacteroidales bacterium UBA5773	d__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__; g__; s__	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__VadinHA17; g__LD21; s__LD21 sp002428385	False	False
GCA_002419345.1	Bacteroidales bacterium UBA5737	d__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__; g__; s__	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__VadinHA17; g__SR-FBR-E99; s__SR-FBR-E99 sp002403305	False	False
GCA_002424525.1	Bacteroidales bacterium UBA5621	d__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__; g__; s__	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__VadinHA17; g__LD21; s__LD21 sp002424525	True	False
GCA_002428385.1	Bacteroidales bacterium UBA6117	d__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__; g__; s__	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__VadinHA17; g__LD21; s__LD21 sp002428385	True	False
GCA_002428785.1	Bacteroidales bacterium UBA6074	d__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__; g__; s__	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__VadinHA17; g__SR-FBR-E99; s__SR-FBR-E99 sp002403305	False	False
GCA_003141415.1	Bacteroidales bacterium	d__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__; g__; s__	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__VadinHA17; g__LD21; s__LD21 sp003141415	True	False
GCA_003141475.1	Bacteroidales bacterium	d__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__; g__; s__	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__VadinHA17; g__LD21; s__LD21 sp003142255	False	False
GCA_003141495.1	Bacteroidales bacterium	d__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__; g__; s__	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__VadinHA17; g__LD21; s__LD21 sp003141495	True	False
GCA_003141525.1	Bacteroidales bacterium	d__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__; g__; s__	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__VadinHA17; g__LD21; s__LD21 sp003141525	True	False
GCA_003141595.1	Bacteroidales bacterium	d__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__; g__; s__	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__VadinHA17; g__LD21; s__LD21 sp003142255	False	False
GCA_003141715.1	Bacteroidales bacterium	d__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__; g__; s__	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__VadinHA17; g__LD21; s__LD21 sp003141715	True	False
GCA_003141755.1	Bacteroidales bacterium	d__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__; g__; s__	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__VadinHA17; g__LD21; s__LD21 sp003141525	False	False
GCA_003141895.1	Bacteroidales bacterium	d__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__; g__; s__	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__VadinHA17; g__LD21; s__LD21 sp003141895	True	False
GCA_003142255.1	Bacteroidales bacterium	d__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__; g__; s__	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__VadinHA17; g__LD21; s__LD21 sp003142255	True	False
GCA_003152835.1	Bacteroidales bacterium	d__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__; g__; s__	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__VadinHA17; g__LD21; s__LD21 sp003152835	True	False
GCA_003152935.1	Bacteroidales bacterium	d__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__; g__; s__	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__VadinHA17; g__LD21; s__LD21 sp003157075	False	False
GCA_003154675.1	Bacteroidales bacterium	d__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__; g__; s__	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__VadinHA17; g__LD21; s__LD21 sp003152835	False	False
GCA_003154725.1	Bacteroidales bacterium	d__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__; g__; s__	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__VadinHA17; g__LD21; s__LD21 sp003141895	False	False
GCA_003155705.1	Bacteroidales bacterium	d__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__; g__; s__	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__VadinHA17; g__LD21; s__LD21 sp003155705	True	False
GCA_003157015.1	Bacteroidales bacterium	d__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__; g__; s__	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__VadinHA17; g__LD21; s__LD21 sp003157015	True	False
GCA_003157055.1	Bacteroidales bacterium	d__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__; g__; s__	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__VadinHA17; g__LD21; s__LD21 sp003157055	True	False
GCA_003157075.1	Bacteroidales bacterium	d__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__; g__; s__	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__VadinHA17; g__LD21; s__LD21 sp003157075	True	False
GCA_003161895.1	Bacteroidales bacterium	d__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__; g__; s__	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__VadinHA17; g__LD21; s__LD21 sp003157015	False	False
GCA_003162595.1	Bacteroidales bacterium	d__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__; g__; s__	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__VadinHA17; g__LD21; s__LD21 sp003162595	True	False
GCA_003170015.1	Bacteroidales bacterium	d__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__; g__; s__	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__VadinHA17; g__LD21; s__LD21 sp003152835	False	False
GCA_003245695.1	Bacteroidetes bacterium	d__Bacteria; p__Bacteroidetes; c__; o__; f__; g__; s__	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__VadinHA17; g__SR-FBR-E99; s__SR-FBR-E99 sp003245695	True	False
GCA_003250475.1	Bacteroidetes bacterium	d__Bacteria; p__Bacteroidetes; c__; o__; f__; g__; s__	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__VadinHA17; g__SR-FBR-E99; s__SR-FBR-E99 sp003250475	True	False
GCA_003453755.1	Bacteroidales bacterium	d__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__; g__; s__	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__VadinHA17; g__LD21; s__LD21 sp001768195	False	False
GCA_003488885.1	Bacteroidales bacterium	d__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__; g__; s__	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__VadinHA17; g__LD21; s__LD21 sp003520925	False	False
GCA_003501665.1	Bacteroidales bacterium	d__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__; g__; s__	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__VadinHA17; g__LD21; s__LD21 sp003501665	True	False
GCA_003508665.1	Bacteroidales bacterium	d__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__; g__; s__	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__VadinHA17; g__LD21; s__LD21 sp001768195	False	False
GCA_003518245.1	Bacteroidales bacterium	d__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__; g__; s__	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__VadinHA17; g__UBA9300; s__UBA9300 sp003518245	True	False
GCA_003520925.1	Bacteroidales bacterium	d__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__; g__; s__	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__VadinHA17; g__LD21; s__LD21 sp003520925	True	False
GCA_003521565.1	Bacteroidales bacterium	d__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__; g__; s__	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__VadinHA17; g__UBA8202; s__UBA8202 sp003521565	False	False
GCA_003528105.1	Bacteroidales bacterium	d__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__; g__; s__	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__VadinHA17; g__LD21; s__LD21 sp001768195	False	False
GCA_003542595.1	Bacteroidales bacterium	d__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__; g__; s__	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__VadinHA17; g__LD21; s__LD21 sp001768195	False	False
GCA_003557255.1	Bacteroidetes bacterium	d__Bacteria; p__Bacteroidetes; c__; o__; f__; g__; s__	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__VadinHA17; g__SLNP01; s__SLNP01 sp007132995	False	False
GCA_006227095.1	Bacteroidetes bacterium	d__Bacteria; p__Bacteroidetes; c__; o__; f__; g__; s__	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__VadinHA17; g__SR-FBR-E99; s__SR-FBR-E99 sp006227095	True	False
GCA_007118335.1	Bacteroidales bacterium	d__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__; g__; s__	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__VadinHA17; g__SLNP01; s__SLNP01 sp007132995	False	False
