bin.126,0.087554,0.697359,0.354542,0.002123,0.067524,0.285715,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Cytophagales,f__Cyclobacteriaceae,g__,s__,
bin.267,0.378993,0.169663,0.002214,1.739169,2.023587,0.046612,d__Bacteria,p__Marinisomatota,c__UBA2242,o__UBA2242,f__,g__,s__,1
bin.89,0.032201,0.899783,0.007339,2.167024,2.874833,0.01139,d__Bacteria,p__Chloroflexota,c__Anaerolineae,o__Anaerolineales,f__UBA11858,g__B10-G9,s__,1
bin.9,0.023765,0.301311,0.002668,0.02448,1.853302,0.002267,d__Bacteria,p__Caldatribacteriota,c__JS1,o__SB-45,f__UBA6794,g__,s__,
bin.270,6.096828,0.01984,1.278916,0.141466,1.298307,1.462762,d__Archaea,p__Halobacteriota,c__Halobacteria,o__Halobacteriales,f__Haloferacaceae,g__Halobellus,s__Halobellus sp003665925,
bin.4,0,1.00777,0.012608,0,0,0.2221665,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Chitinophagales,f__CAIOSU01,g__,s__,
bin.145,0.025507,1.964813,0,0.246723,0.315647,0,d__Bacteria,p__Acidobacteriota,c__UBA6911,o__RPQK01,f__,g__,s__,1
bin.256,0.054261,0.004236,4.221572,0.002432,0.013204,3.557542,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__CAILMK01,f__JAAYUY01,g__,s__,1
bin.198,0.010718,0.30067,0,0.431825,1.131309,0.016789,d__Bacteria,p__Planctomycetota,c__Phycisphaerae,o__SM23-33,f__SM23-33,g__,s__,
bin.6,0.188387,0.393713,0.01448,0.052819,0.159545,0.802499,d__Bacteria,p__Verrucomicrobiota,c__Verrucomicrobiae,o__Opitutales,f__Verruco-01,g__CK1056,s__,
bin.59,0.493032,0.256488,5.18309,0.034524,0.829161,2.113508,d__Bacteria,p__Verrucomicrobiota,c__Verrucomicrobiae,o__Opitutales,f__Puniceicoccaceae,g__,s__,1
bin.119,0.028854,0.081531,0.000933,0.298591,1.63356,0.000818,d__Bacteria,p__UBP14,c__UBA6098,o__UBA6098,f__,g__,s__,1
bin.213,0.0467935,0.392714,0,0.322749,0.5711995,0,d__Bacteria,p__OLB16,c__OLB16,o__SURF-12,f__,g__,s__,
bin.214,0.080444,0.669812,0.004935,0.136986,4.502777,0.003653,d__Bacteria,p__Desulfobacterota,c__Desulfovibrionia,o__Desulfovibrionales,f__Desulfohalobiaceae,g__Desulfovermiculus,s__,1
bin.218,0.016637,11.600854,0.001481,0.039528,1.284969,0.002263,d__Archaea,p__Asgardarchaeota,c__Lokiarchaeia,o__CR-4,f__AMARA-1,g__,s__,
bin.130,0.221001,1.741851,0.005095,0.125475,0.937184,0.003442,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Bacteroidales,f__UBA12077,g__,s__,1
bin.102,0.000369,0.60241,0,0.166771,3.834918,0,d__Bacteria,p__Fermentibacterota,c__Fermentibacteria,o__Fermentibacterales,f__Fermentibacteraceae,g__Aegiribacteria,s__,1
bin.208,0.078911,0.585254,0.398228,0.030993,0.016711,0.534221,d__Bacteria,p__Planctomycetota,c__Phycisphaerae,o__Phycisphaerales,f__Phycisphaeraceae,g__,s__,
bin.243,0.001537,0.478126,0,0.056725,1.507772,0,d__Bacteria,p__FCPU426,c__JAAXVQ01,o__JAAXVQ01,f__JAAXVQ01,g__,s__,1
bin.140,3.353916,0.054985,0.27845,0.119011,0.309954,0.254065,d__Bacteria,p__Cyanobacteria,c__Cyanobacteriia,o__Cyanobacteriales,f__Rubidibacteraceae,g__Halothece,s__,1
bin.215,0,0,1.248266,0,0,0.187272,d__Bacteria,p__Verrucomicrobiota,c__Verrucomicrobiae,o__Opitutales,f__JABSRG01,g__,s__,1
bin.85,0.057622,0.804929,0.037307,0.051878,0.756917,0.154719,d__Bacteria,p__Actinobacteriota,c__Acidimicrobiia,o__Acidimicrobiales,f__Ilumatobacteraceae,g__,s__,
bin.180,0.089526,1.113684,0.075244,0,0,0.104885,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Chitinophagales,f__Saprospiraceae,g__,s__,
bin.101,0.10059,0.04,0,0.883406,1.650305,0,d__Bacteria,p__Bipolaricaulota,c__Bipolaricaulia,o__,f__,g__,s__,1
bin.128,0.11692,0.114488,0,0.173572,1.340077,0.004426,d__Bacteria,p__Hydrogenedentota,c__Hydrogenedentia,o__Hydrogenedentiales,f__,g__,s__,
bin.194,0.053853,0.0182,13.611208,0,0.014622,5.561988,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Cytophagales,f__Cyclobacteriaceae,g__,s__,1
bin.175,2.579224,0.143253,0.295989,0.012467,14.419582,0.099285,d__Archaea,p__Nanoarchaeota,c__Nanoarchaeia,o__UBA10117,f__,g__,s__,
bin.70,0,0,0.670167,0,0,0.386224,d__Bacteria,p__Sumerlaeota,c__Sumerlaeia,o__SLMS01,f__SLMS01,g__,s__,
bin.223,0.105006,1.523144,0.006867,3.501769,5.663556,0.005019,d__Archaea,p__Asgardarchaeota,c__Lokiarchaeia,o__CR-4,f__SOKP01,g__TEKIR-8,s__,1
bin.206,0.033189,0.003415,0.388768,0.016032,0.024469,1.060522,d__Bacteria,p__Chlamydiota,c__Chlamydiia,o__Chlamydiales,f__Simkaniaceae,g__,s__,
bin.36,0.08503,0.977313,0.441774,0.221263,1.667239,1.675602,d__Bacteria,p__Cyanobacteria,c__Cyanobacteriia,o__Phormidesmiales,f__Phormidesmiaceae,g__,s__,1
bin.157,0,0.42488,0,1.885659,1.8535315,0,d__Archaea,p__Thermoproteota,c__Bathyarchaeia,o__TCS64,f__TCS64,g__,s__,
bin.46,0.001355,0.321963,0,0.956939,1.07802,0.000479,d__Bacteria,p__Zixibacteria,c__MSB-5A5,o__CAIYYT01,f__JAABVY01,g__JAABVY01,s__,1
bin.54,1.23552,0.901978,0.000454,0.006465,0.1569,0.002139,d__Archaea,p__Nanoarchaeota,c__Nanoarchaeia,o__Woesearchaeales,f__SKIA01,g__,s__,
bin.248,0.731418,0.523264,0.017999,0.008532,3.828903,0.00797,d__Bacteria,p__Desulfobacterota,c__Desulfovibrionia,o__Desulfovibrionales,f__Desulfonatronovibrionaceae,g__,s__,1
bin.283,0.421908,0.825242,0.054908,0.008907,1.704451,0.096615,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Bacteroidales,f__Marinilabiliaceae,g__,s__,1
bin.43,2.487286,0.4065,0.042566,0.070806,5.633626,0.041961,d__Bacteria,p__Desulfobacterota,c__Desulfovibrionia,o__Desulfovibrionales,f__Desulfohalobiaceae,g__Desulfovermiculus,s__,1
bin.34,0.201984,7.994989,0.003099,0.191499,6.348204,0.001877,d__Archaea,p__Thermoplasmatota,c__E2,o__DHVEG-1,f__DHVEG-1,g__EX4572-165,s__,1
bin.13,0.063071,0.03779,0,25.698478,0.411676,0,d__Bacteria,p__Bipolaricaulota,c__Bipolaricaulia,o__,f__,g__,s__,
bin.189,0.121671,0.390243,6.260861,0.027474,0.411852,0.954678,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Sphingomonadales,f__Sphingomonadaceae,g__Erythrobacter,s__,1
bin.278,0.395899,0.276422,2.420567,0.004821,0.014787,4.016796,d__Bacteria,p__Spirochaetota,c__Spirochaetia,o__Spirochaetales_C,f__Alkalispirochaetaceae,g__Alkalispirochaeta,s__,1
bin.37,0.155408,0.165251,0.006745,0.713487,0.127273,1.087838,d__Bacteria,p__Planctomycetota,c__Phycisphaerae,o__Phycisphaerales,f__SM1A02,g__JABDLI01,s__,1
bin.25,0.158967,0.99127,0,0.0541765,0.365951,0,d__Bacteria,p__Latescibacterota,c__Latescibacteria,o__Latescibacterales,f__Latescibacteraceae,g__,s__,
bin.121,0.41954,0.992768,0.385166,0.04219,0.253112,0.373793,d__Bacteria,p__Cyanobacteria,c__Cyanobacteriia,o__Cyanobacteriales,f__Rubidibacteraceae,g__Halothece,s__,1
bin.264,2.579133,7.719741,0.032987,0.199535,1.9757725,2.0038,d__Bacteria,p__Planctomycetota,c__Phycisphaerae,o__SM23-33,f__SM23-33,g__,s__,1
bin.96,0.004264,2.191437,0.050129,0.067376,0.000894,0.108262,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Flavobacteriales,f__Cryomorphaceae,g__Cryomorpha,s__,1
bin.81,1.165988,0.054532,0.018077,0.161312,1.600896,0.016486,d__Bacteria,p__Desulfobacterota,c__Desulfovibrionia,o__Desulfovibrionales,f__Desulfohalobiaceae,g__,s__,1
bin.22,0.010372,1.576625,0.346177,0.012362,0.007358,0.248524,d__Bacteria,p__Bacteroidota,c__Rhodothermia,o__Balneolales,f__Balneolaceae,g__QGGB01,s__,1
bin.251,1.853432,0.214885,27.559006,0.012955,0.102357,6.977005,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Chitinophagales,f__Saprospiraceae,g__Phaeodactylibacter,s__,1
bin.114,0.010497,0.054991,0,0.760504,1.877323,0.003866,d__Bacteria,p__Myxococcota,c__Bradymonadia,o__Bradymonadales,f__Bradymonadaceae,g__,s__,1
bin.255,0.112622,1.139607,0.005821,3.969598,1.911894,0.075171,d__Bacteria,p__Planctomycetota,c__Phycisphaerae,o__SM23-33,f__SM23-33,g__,s__,1
bin.261,0.017322,1.029869,0,1.862781,0.183615,0,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Bacteroidales,f__JAADJA01,g__JAADJA01,s__,1
bin.83,0.015547,4.317585,4.025565,0.0014,0.005105,0.399188,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Flavobacteriales,f__Schleiferiaceae,g__,s__,1
bin.138,0.003418,0.230452,0,5.220315,0.180524,0.001271,d__Bacteria,p__Krumholzibacteriota,c__Krumholzibacteria,o__Krumholzibacteriales,f__Krumholzibacteriaceae,g__,s__,1
bin.141,0.245427,0.018698,0.00899,0.005147,2.933266,0.003238,d__Bacteria,p__Patescibacteria,c__ABY1,o__BM507,f__BM507,g__,s__,
bin.202,0,0.189063,0,0.018336,1.30725,0,d__Bacteria,p__,c__,o__,f__,g__,s__,
bin.177,0.058909,0.82401,0.049497,0,0.001139,0.806222,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__CAILMK01,f__JAAYUY01,g__,s__,1
bin.8,0.258637,0.944565,0.003842,0.084491,1.075812,0.088353,d__Bacteria,p__OLB16,c__,o__,f__,g__,s__,1
bin.148,0.867129,0.003902,0.608347,0.003158,0.249269,0.049268,d__Bacteria,p__Campylobacterota,c__Campylobacteria,o__Campylobacterales,f__Arcobacteraceae,g__,s__,1
bin.274,3.910918,0,1.830436,0.134249,0.228431,0.832218,d__Bacteria,p__Firmicutes_F,c__Halanaerobiia,o__Halobacteroidales,f__Halobacteroidaceae,g__,s__,1
bin.284,5.3839,2.66609,0.046385,2.209144,9.579169,0.118995,d__Bacteria,p__Desulfobacterota,c__Desulfobacteria,o__Desulfobacterales,f__SURF-3,g__,s__,1
bin.220,0.008983,1.727132,0,0.015804,1.15864,0.000816,d__Bacteria,p__KSB1,c__UBA2214,o__AABM5-25-91,f__,g__,s__,1
bin.12,13.684453,0,6.916349,0.027498,1.399497,2.986744,d__Archaea,p__Nanohaloarchaeota,c__Nanosalinia,o__Nanosalinales,f__Nanosalinaceae,g__M3-22,s__,
bin.207,2.212971,2.490215,0.008188,5.405757,9.5320205,0.282451,d__Bacteria,p__Desulfobacterota,c__Desulfovibrionia,o__Desulfovibrionales,f__Desulfohalobiaceae,g__Desulfovermiculus,s__,1
bin.1,0.053109,0.296008,0.766434,0.41692,0.687549,0.503882,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Sphingomonadales,f__Sphingomonadaceae,g__Sphingopyxis,s__,1
bin.231,2.729024,0.022761,1.137534,0.133892,3.80214,0.729207,d__Archaea,p__Halobacteriota,c__Halobacteria,o__Halobacteriales,f__Haladaptataceae,g__Halorussus,s__,1
bin.222,0.112579,1.320186,0.006419,1.204242,6.357708,0.04187,d__Bacteria,p__Chloroflexota,c__Anaerolineae,o__B4-G1,f__SLSP01,g__G713,s__,1
bin.225,0.057732,3.955315,0,0.443826,0.421146,0.000332,d__Archaea,p__Thermoplasmatota,c__EX4484-6,o__EX4484-6,f__EX4484-6,g__EX4484-6,s__,1
bin.259,0.039661,0.01093,1.758657,0.008902,0.005336,0.462843,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Sphingomonadales,f__Rhodothalassiaceae,g__Rhodothalassium,s__,1
bin.26,0.154019,0.678271,4.589024,0.005062,0.051651,1.101046,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Chitinophagales,f__Saprospiraceae,g__Phaeodactylibacter,s__,1
bin.19,0.121222,0.021721,0.177725,0.003192,0.018193,2.833234,d__Bacteria,p__OLB16,c__OLB16,o__SURF-12,f__,g__,s__,1
bin.205,0.427221,4.318761,0,0.0686525,0.159965,0.018377,d__Bacteria,p__Desulfobacterota,c__Desulfobacteria,o__Desulfobacterales,f__Desulfobacteraceae,g__Desulfotignum,s__,1
bin.143,0.041799,0.069054,0.642795,0.003536,0.001224,1.96663,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Cytophagales,f__Cyclobacteriaceae,g__,s__,1
bin.53,0.1627,0.030645,0.003411,3.529139,0.261196,0.034519,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__XJ16,f__Halofilaceae,g__Halofilum,s__,
bin.134,0.03696,0.14389,0.005507,0.000536,3.989842,0.001606,d__Bacteria,p__Firmicutes_A,c__Clostridia,o__Tissierellales,f__SIT17,g__,s__,1
bin.84,0.263642,3.924097,0.000617,0.140067,0.207584,0.036843,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Bacteroidales,f__GCA-2748055,g__,s__,1
bin.74,1.234392,0.357664,0.017078,0.012425,1.73375,0.223229,d__Bacteria,p__Desulfobacterota,c__Desulfovibrionia,o__Desulfovibrionales,f__Desulfohalobiaceae,g__Desulfohalobium,s__Desulfohalobium retbaense,1
bin.108,0.248586,0.039517,10.942126,0.021704,0.535815,1.512172,d__Bacteria,p__Cyanobacteria,c__Cyanobacteriia,o__Phormidesmiales,f__Phormidesmiaceae,g__CCP5,s__,1
bin.155,0.061784,0.02086,0.004072,0.389299,2.235615,0.000887,d__Archaea,p__Aenigmatarchaeota_A,c__Aenigmatarchaeia_A,o__GW2011-AR5,f__GCA-2688965,g__,s__,
bin.24,0.086781,0.573641,2.628184,0.000451,0.001459,0.706284,d__Bacteria,p__Chloroflexota,c__Anaerolineae,o__SBR1031,f__A4b,g__GCA-2699585,s__,1
bin.120,0.00839,1.38794,0.047292,0,0.07854,0.037613,d__Bacteria,p__Spirochaetota,c__Spirochaetia,o__Spirochaetales_C,f__DSM-8902,g__,s__,1
bin.41,0.105698,0.795618,0.103763,0.002953,0.003536,0.822931,d__Bacteria,p__Bacteroidota,c__Rhodothermia,o__Balneolales,f__Balneolaceae,g__,s__,1
bin.10,0.008164,0.060523,0,22.143156,0.037356,0.000374,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Bacteroidales,f__B18-G4,g__,s__,1
bin.229,1.259503,3.905565,0.00854,0.09231,1.169992,3.715349,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Bacteroidales,f__UBA10428,g__,s__,1
bin.45,0.112826,0.885334,0.000674,1.809933,1.167645,0.0011,d__Bacteria,p__Patescibacteria,c__Microgenomatia,o__UBA1400,f__Chazhemtobacteraceae,g__,s__,
bin.279,0.439166,5.443399,0.015699,1.715394,0.297654,0.185052,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Xanthomonadales,f__Wenzhouxiangellaceae,g__GCA-2722315,s__,1
bin.82,1.418991,2.012667,0.015383,0.387526,4.210542,0.275275,d__Bacteria,p__Desulfobacterota,c__Desulfovibrionia,o__Desulfovibrionales,f__Desulfohalobiaceae,g__JAABTT01,s__,1
bin.90,0.005499,0.300692,1.35853,0,0,0.229982,d__Bacteria,p__Chloroflexota,c__Anaerolineae,o__SBR1031,f__A4b,g__GCA-2699585,s__,
bin.63,0.1583945,0.651138,0,0.0122005,0.060653,0.624703,d__Bacteria,p__Verrucomicrobiota,c__Verrucomicrobiae,o__Opitutales,f__Puniceicoccaceae,g__,s__,1
bin.42,0.178342,0.023986,1.115124,0.011505,0.070012,0.185524,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Chitinophagales,f__Saprospiraceae,g__,s__,1
bin.80,0.143081,4.085645,0.001826,2.345631,4.499922,0.054943,d__Bacteria,p__Gemmatimonadota,c__Gemmatimonadetes,o__Longimicrobiales,f__UBA6960,g__,s__,
bin.3,0.124734,0.060634,0.167279,0,0,0.625597,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Chitinophagales,f__Saprospiraceae,g__,s__,
bin.241,1.58553,0.120363,0.022926,0.028138,6.972032,0.958021,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Bacteroidales,f__UBA12170,g__,s__,1
bin.68,0,0.000446,0,3.338982,0.006066,0,d__Archaea,p__Asgardarchaeota,c__Lokiarchaeia,o__CR-4,f__SOKP01,g__TEKIR-8,s__,1
bin.132,0.348877,0.104711,0,0.073941,0.585115,0,d__Archaea,p__Nanoarchaeota,c__Nanoarchaeia,o__PEZQ01,f__,g__,s__,
bin.173,1.43266,3.339366,0.051809,2.38626,11.8909055,0.201682,d__Bacteria,p__Verrucomicrobiota,c__Lentisphaeria,o__UBA1407,f__PUNB01,g__,s__,1
bin.186,0.045984,1.540418,0.000344,0.004686,1.754237,0.000858,d__Bacteria,p__Myxococcota,c__Polyangia,o__HGW-17,f__SLPX01,g__,s__,1
bin.38,0.026781,1.179765,0.008958,0.007174,5.951003,0.003441,d__Bacteria,p__Fermentibacterota,c__Fermentibacteria,o__Fermentibacterales,f__Fermentibacteraceae,g__,s__,1
bin.33,0.001734,1.114263,0.000453,0.114274,2.386473,0.00081,d__Bacteria,p__Fermentibacterota,c__Fermentibacteria,o__Fermentibacterales,f__Fermentibacteraceae,g__Aegiribacteria,s__,1
bin.281,1.14794,1.203377,0.013399,0.612646,2.275605,1.709942,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Bacteroidales,f__UBA12077,g__,s__,1
bin.235,0.947513,1.300772,0.0051565,0.001855,1.573122,0.002991,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Bacteroidales,f__Salinivirgaceae,g__Salinivirga,s__,1
bin.232,0.012387,5.55515,0,0.252094,1.648156,0.000265,d__Archaea,p__Thermoplasmatota,c__E2,o__DHVEG-1,f__DHVEG-1,g__M9B1D,s__,1
bin.260,0.030933,10.376927,0,0.101445,0.691473,0,d__Bacteria,p__Planctomycetota,c__UBA11346,o__,f__,g__,s__,1
bin.230,0.013914,0.017149,0,2.710333,0.012595,0.000356,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Bacteroidales,f__VadinHA17,g__,s__,1
bin.203,0,0.029745,0,0.369181,0.959971,0,d__Bacteria,p__Bacteroidota,c__Kapabacteria,o__Kapabacteriales,f__UBA2268,g__,s__,
bin.14,0.032132,0.009206,0.583404,0.001203,0.002206,1.158773,d__Archaea,p__Nanoarchaeota,c__Nanoarchaeia,o__Woesearchaeales,f__,g__,s__,
bin.191,30.751932,0.005611,2.086156,2.124399,0.400743,11.06882,d__Archaea,p__Nanoarchaeota,c__Nanoarchaeia,o__Woesearchaeales,f__21-14-0-10-32-9,g__,s__,
bin.149,0.001853,0.015064,0,15.945469,0.004651,0.001298,d__Bacteria,p__Bipolaricaulota,c__Bipolaricaulia,o__RBG-16-55-9,f__RBG-16-55-9,g__,s__,1
bin.216,0.683234,0.06609,0.04562,0.077812,0.085701,4.369129,d__Bacteria,p__Planctomycetota,c__Phycisphaerae,o__Phycisphaerales,f__Phycisphaeraceae,g__,s__,1
bin.27,0.451799,0.315101,0.082434,0.007749,0.291067,1.752401,d__Bacteria,p__Verrucomicrobiota,c__Verrucomicrobiae,o__Opitutales,f__Verruco-01,g__CK1056,s__,1
bin.44,0,0,0,1.44918,0,0,d__Bacteria,p__Planctomycetota,c__Phycisphaerae,o__Phycisphaerales,f__SM1A02,g__SLJD01,s__,1
bin.97,0.038409,0.206889,0,0.019476,0.0075195,0.995365,d__Bacteria,p__Planctomycetota,c__Phycisphaerae,o__Phycisphaerales,f__Phycisphaeraceae,g__,s__,
bin.275,0.001873,0.046303,0,4.698411,0.122273,0,d__Bacteria,p__Marinisomatota,c__,o__,f__,g__,s__,1
bin.146,4.821378,1.037574,0.033413,3.808045,5.235066,0.076828,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Bacteroidales,f__UBA12077,g__,s__,1
bin.184,3.01301,0.076294,0.335378,0.193057,1.376035,0.111711,d__Archaea,p__Halobacteriota,c__Halobacteria,o__Halobacteriales,f__Halobacteriaceae,g__Halodesulfurarchaeum,s__,1
bin.224,0.09431,0.246379,19.472648,0.002913,0.019475,4.708805,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Chitinophagales,f__Saprospiraceae,g__DT-110,s__,1
bin.137,0.245111,0.304553,0.349487,0,0.091502,0.392932,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Micavibrionales,f__Micavibrionaceae,g__UBA1664,s__,1
bin.156,0.337097,1.456908,0.012033,0.104994,4.311658,0.15934,d__Bacteria,p__Hydrogenedentota,c__Hydrogenedentia,o__Hydrogenedentiales,f__CAIZGN01,g__,s__,1
bin.245,0.112344,0.340544,1.807429,0.016567,0.011791,1.509071,d__Bacteria,p__Planctomycetota,c__Phycisphaerae,o__Phycisphaerales,f__SM1A02,g__REDD01,s__,1
bin.172,0.781194,0.265949,0,0.060159,0.498167,0.00641,d__Bacteria,p__UBP15,c__UBA6099,o__UBA6099,f__UBA6099,g__,s__,1
bin.124,0,1.0280615,0,0.237016,0.348182,0,d__Bacteria,p__RBG-13-61-14,c__RBG-13-61-14,o__RBG-13-61-14,f__,g__,s__,1
bin.200,0.0085895,3.4426315,0,0,0.0039775,0.087181,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Flavobacteriales,f__Schleiferiaceae,g__Owenweeksia,s__,
bin.153,2.965966,1.518773,0.013715,0.021023,0.81913,0.467842,d__Bacteria,p__Verrucomicrobiota,c__Lentisphaeria,o__,f__,g__,s__,
bin.48,0.211043,0.015025,0,0.125021,0.954812,0.009015,d__Bacteria,p__Verrucomicrobiota,c__Lentisphaeria,o__UBA1407,f__PUNB01,g__,s__,
bin.62,6.123316,2.992554,0.009656,0.2248125,6.671833,2.427143,d__Bacteria,p__Desulfobacterota,c__Desulfovibrionia,o__Desulfovibrionales,f__Desulfohalobiaceae,g__,s__,1
bin.247,0.314146,3.143362,0.569772,1.1713835,2.517605,5.863946,d__Bacteria,p__Deinococcota,c__Deinococci,o__Deinococcales,f__Trueperaceae,g__SLSQ01,s__,1
bin.93,0.0445,0.058297,0.001339,0.979842,0.769251,0.004275,d__Bacteria,p__Sumerlaeota,c__Sumerlaeia,o__SLMS01,f__SLMS01,g__,s__,1
bin.21,0.018865,0.001371,0,2.040607,0.00096,0,d__Archaea,p__Nanohaloarchaeota,c__Nanosalinia,o__Nanosalinales,f__,g__,s__,
bin.29,0.017432,0.043935,0.000322,0.087696,2.081017,0.00017,d__Archaea,p__Nanoarchaeota,c__Nanoarchaeia,o__CSSed11-243R1,f__CSSed11-243R1,g__,s__,
bin.252,1.15984,0.184753,0.038749,0.010495,7.739629,0.50871,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Bacteroidales,f__PWNQ01,g__PWNQ01,s__,1
bin.193,1.404445,0.003474,0.035819,0.014187,0.312634,0.190159,d__Bacteria,p__Bacteroidota,c__Rhodothermia,o__Balneolales,f__,g__,s__,1
bin.112,2.316268,0.421794,0.003029,0.044923,0.052622,4.875756,d__Bacteria,p__Desulfobacterota,c__Desulfobacteria,o__Desulfobacterales,f__Desulfococcaceae,g__,s__,1
bin.78,1.011869,0.039988,0.029861,0.009028,0.352687,0.001582,d__Bacteria,p__Verrucomicrobiota,c__Lentisphaeria,o__UBA1407,f__YB12-FULL-65-16,g__,s__,1
bin.179,0.441769,0.129497,0,0,0,0.36169,d__Bacteria,p__Cyanobacteria,c__Cyanobacteriia,o__Cyanobacteriales,f__Geitlerinemaceae,g__,s__,
bin.50,0.284801,0.038366,0.553571,0.218349,0.096316,0.126225,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Pseudomonadales,f__Halomonadaceae,g__Halomonas,s__Halomonas sp013112225,
bin.122,0.067309,0.561086,0.004953,0.151746,0.907979,0,d__Bacteria,p__Planctomycetota,c__Phycisphaerae,o__Sedimentisphaerales,f__Anaerohalophaeraceae,g__,s__,
bin.110,0.233258,0.399173,0.002172,1.753794,3.609928,0.021087,d__Bacteria,p__Planctomycetota,c__Brocadiae,o__SM23-32,f__SM23-32,g__,s__,1
bin.117,0.031035,1.835516,1.1728,0.017056,0.182798,0.634767,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Chitinophagales,f__Saprospiraceae,g__,s__,1
bin.210,0,0.370803,0.519208,0,0,0.344844,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Chitinophagales,f__REEL01,g__,s__,
bin.61,0.038162,0.303584,0.001878,0.468435,1.692053,0.002252,d__Bacteria,p__Patescibacteria,c__Paceibacteria,o__Paceibacterales,f__DG-74-3,g__,s__,
bin.66,0.357767,0.023783,0.006322,0.009845,1.794793,0.10503,d__Bacteria,p__Bacteroidota,c__Kapabacteria,o__Kapabacteriales,f__UBA2268,g__,s__,1
bin.73,0.5280665,1.529759,0.002138,0.065048,3.61534,0.002797,d__Bacteria,p__Cloacimonadota,c__Cloacimonadia,o__Cloacimonadales,f__,g__,s__,1
bin.268,0.343793,4.979632,0.014057,0.013902,0.80944,0.019311,d__Bacteria,p__Desulfobacterota,c__Desulfovibrionia,o__Desulfovibrionales,f__Desulfovibrionaceae,g__,s__,
bin.263,0,0.008599,1.078311,0,0,0.366812,d__Bacteria,p__Verrucomicrobiota,c__Verrucomicrobiae,o__Opitutales,f__,g__,s__,
